institution_name,PARTIC_MEN,PARTIC_WOMEN,REV_MEN,REV_WOMEN,Sports,Basketball Women,Track and Field Women,Volleyball Women,Soccer Women,Softball Women,Sports
Gardner-Webb University,27.0,,595515.0,,Wrestling,,,,,,
Greensboro College,46.0,,99244.0,,Baseball,,,,,,
Greensboro College,17.0,19.0,81277.0,106780.0,Basketball,,,,,,
Greensboro College,79.0,,263561.0,,Football,,,,,,
Greensboro College,10.0,5.0,65008.0,8947.0,Golf,,,,,,
Greensboro College,34.0,,80844.0,,Lacrosse,,,,,,
Greensboro College,29.0,24.0,68782.0,66036.0,Soccer,,,,,,
Greensboro College,,30.0,,52673.0,Softball,,,,,,
Greensboro College,5.0,3.0,25307.0,25307.0,Swimming,,,,,,
Greensboro College,,18.0,,70954.0,Volleyball,,,,,,
Greensboro College,16.0,1.0,85834.0,508.0,Wrestling,,,,,,
Guilford College,39.0,,98262.0,,Baseball,,,,,,
Guilford College,18.0,14.0,109569.0,133609.0,Basketball,,,,,,
Guilford College,49.0,25.0,56421.0,38204.0,All Track Combined,,,,,,
Guilford College,103.0,,184638.0,,Football,,,,,,
Guilford College,8.0,,83140.0,,Golf,,,,,,
Guilford College,39.0,14.0,54411.0,31270.0,Lacrosse,,,,,,
Guilford College,31.0,19.0,76289.0,60148.0,Soccer,,,,,,
Guilford College,,24.0,,80169.0,Softball,,,,,,
Guilford College,,10.0,,37999.0,Swimming,,,,,,
Guilford College,8.0,7.0,16383.0,55154.0,Tennis,,,,,,
Guilford College,,13.0,,83442.0,Volleyball,,,,,,
Guilford Technical Community College,36.0,,93711.0,,Baseball,,,,,,
Guilford Technical Community College,9.0,,46795.0,,Basketball,,,,,,
Guilford Technical Community College,,7.0,,38584.0,Volleyball,,,,,,
High Point University,46.0,,1166720.0,,Baseball,,,,,,
High Point University,19.0,14.0,2922884.0,1521477.0,Basketball,,,,,,
High Point University,138.0,117.0,1127467.0,1211065.0,All Track Combined,,,,,,
High Point University,11.0,8.0,405826.0,453294.0,Golf,,,,,,
High Point University,66.0,40.0,1404443.0,1014069.0,Lacrosse,,,,,,
High Point University,30.0,35.0,876969.0,943106.0,Soccer,,,,,,
High Point University,,24.0,,853351.0,Volleyball,,,,,,
Lees-McRae College,20.0,18.0,430879.0,381632.0,Basketball,,,,,,
Lees-McRae College,36.0,34.0,372292.0,360545.0,All Track Combined,,,,,,
Lees-McRae College,30.0,15.0,317221.0,267963.0,Lacrosse,,,,,,
Lees-McRae College,29.0,30.0,328809.0,258937.0,Soccer,,,,,,
Lees-McRae College,,21.0,,212907.0,Softball,,,,,,
Lees-McRae College,10.0,7.0,127332.0,151294.0,Swimming,,,,,,
Lees-McRae College,6.0,6.0,152782.0,115878.0,Tennis,,,,,,
Lees-McRae College,12.0,17.0,139613.0,172768.0,Volleyball,,,,,,
Lees-McRae College,,,,,Other Sports,,,,,,
Lenoir Community College,40.0,,75225.0,,Baseball,,,,,,
Lenoir Community College,12.0,,53385.0,,Basketball,,,,,,
Lenoir Community College,,12.0,,53398.0,Volleyball,,,,,,
Lenoir-Rhyne University,54.0,,637123.0,,Baseball,,,,,,
Lenoir-Rhyne University,19.0,21.0,701725.0,683021.0,Basketball,,,,,,
Lenoir-Rhyne University,105.0,98.0,509670.0,523775.0,All Track Combined,,,,,,
Lenoir-Rhyne University,117.0,,2385359.0,,Football,,,,,,
Lenoir-Rhyne University,11.0,6.0,188071.0,203739.0,Golf,,,,,,
Lenoir-Rhyne University,52.0,22.0,688878.0,363183.0,Lacrosse,,,,,,
Lenoir-Rhyne University,28.0,33.0,496223.0,565582.0,Soccer,,,,,,
Lenoir-Rhyne University,,20.0,,474430.0,Softball,,,,,,
Lenoir-Rhyne University,18.0,17.0,146539.0,156742.0,Swimming,,,,,,
Lenoir-Rhyne University,10.0,10.0,160472.0,252447.0,Tennis,,,,,,
Lenoir-Rhyne University,,18.0,,357593.0,Volleyball,,,,,,
Lenoir-Rhyne University,,10.0,,128709.0,Other Sports,,,,,,
Lenoir-Rhyne University,12.0,6.0,42396.0,21198.0,Weight Lifting,,,,,,
Livingstone College,8.0,,109000.0,,Golf,,,,,,
Livingstone College,22.0,24.0,106978.0,101022.0,"Track and Field, Outdoor",,,,,,
Louisburg College,28.0,,224402.0,,Baseball,,,,,,
Louisburg College,30.0,13.0,127510.0,116334.0,Basketball,,,,,,
Louisburg College,37.0,6.0,82422.0,42422.0,All Track Combined,,,,,,
Louisburg College,75.0,,167692.0,,Football,,,,,,
Louisburg College,28.0,12.0,134067.0,91749.0,Soccer,,,,,,
Louisburg College,,22.0,,197312.0,Softball,,,,,,
Louisburg College,,11.0,,88941.0,Volleyball,,,,,,
Mars Hill University,45.0,,532492.0,,Baseball,,,,,,
Mars Hill University,21.0,17.0,448561.0,242056.0,Basketball,,,,,,
Mars Hill University,50.0,28.0,191522.0,95767.0,All Track Combined,,,,,,
Mars Hill University,104.0,,1374541.0,,Football,,,,,,
Mars Hill University,7.0,5.0,70360.0,73661.0,Golf,,,,,,
Mars Hill University,35.0,16.0,306356.0,181252.0,Lacrosse,,,,,,
Mars Hill University,43.0,19.0,299559.0,166529.0,Soccer,,,,,,
Mars Hill University,,23.0,,191537.0,Softball,,,,,,
Mars Hill University,8.0,11.0,94539.0,93280.0,Swimming,,,,,,
Mars Hill University,8.0,9.0,80578.0,83931.0,Tennis,,,,,,
Mars Hill University,,13.0,,402457.0,Volleyball,,,,,,
Methodist University,46.0,,235637.0,,Baseball,,,,,,
Methodist University,23.0,20.0,117637.0,94350.0,Basketball,,,,,,
Methodist University,151.0,,536392.0,,Football,,,,,,
Methodist University,20.0,13.0,85003.0,81873.0,Golf,,,,,,
Methodist University,28.0,20.0,145982.0,105262.0,Lacrosse,,,,,,
Methodist University,31.0,25.0,107232.0,89848.0,Soccer,,,,,,
Methodist University,,18.0,,104186.0,Softball,,,,,,
Methodist University,24.0,20.0,92224.0,96876.0,Tennis,,,,,,
Methodist University,21.0,9.0,39030.0,30374.0,"Track and Field, Indoor",,,,,,
Methodist University,27.0,12.0,41664.0,32688.0,"Track and Field, Outdoor",,,,,,
Methodist University,12.0,11.0,26397.0,25745.0,"Track and Field, X-Country",,,,,,
Methodist University,,14.0,,75436.0,Volleyball,,,,,,
Montreat College,70.0,,1158198.0,,Baseball,,,,,,
Montreat College,42.0,26.0,721701.0,395242.0,Basketball,,,,,,
Montreat College,29.0,18.0,526785.0,304083.0,All Track Combined,,,,,,
Montreat College,14.0,6.0,209809.0,101653.0,Golf,,,,,,
Montreat College,19.0,22.0,278119.0,233798.0,Lacrosse,,,,,,
Montreat College,49.0,22.0,589203.0,324692.0,Soccer,,,,,,
Montreat College,,39.0,,447695.0,Softball,,,,,,
Montreat College,19.0,8.0,252077.0,149799.0,Tennis,,,,,,
Montreat College,,34.0,,297839.0,Volleyball,,,,,,
Montreat College,31.0,,359125.0,,Wrestling,,,,,,
University of Mount Olive,46.0,,528601.0,,Baseball,,,,,,
University of Mount Olive,34.0,26.0,381230.0,424150.0,Basketball,,,,,,
